Player,TM,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
"Constable, Charlie",GC,2,4,2,,4,,,,,1,1,,1,,,,,3,,,,,
"Angwin, Ryan",GW,1,1,1,2,3,,,,1,,,,1,,1,,2,1,,,,,
"Roberts, Matt",SY,1,1,,1,2,,,,1,1,,,1,,1,,1,1,,,1,,
"Williams, Jack",WC,1,1,,1,2,,,1,1,,1,1,5,,3,,1,1,,,,,
"Bergman, Miller",NM,1,1,,,1,,,,,,,1,1,,,,1,,,,1,,
"Crowden, Mitch",FR,2,,,,,,,,,,,,,,,,,,,,,,
"Lord, Alastair",ES,1,,,,,,,,,,,,,,,,,,,,,,
"Williamson, Tom",CA,1,,,,,,,,,,,,,,,,,,,,,,
"Fantasia, Orazio",PA,1,,,,,,,,,,,,,,,,,,,,,,
"Taylor, Lewis",SY,1,,,,,,,,,,,,,,,,,,,,,,
