Player,TM,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
"Robinson, Mitch",BL,15,121,41,67,188,9,2,,26,22,30,22,42,13,10,,74,113,1,3,16,1,2
"Ralphsmith, Hugo",RI,13,101,45,87,188,5,1,,17,25,28,4,32,5,9,,54,120,3,1,25,10,2
"Butler, Dan",SK,19,127,35,60,187,19,8,,77,1,36,9,47,17,18,1,77,103,2,6,16,7,16
"Ryan, Liam",WC,17,153,71,34,187,19,12,,39,5,48,8,57,24,15,,74,112,11,22,11,5,12
"Nelson, Jackson",WC,13,104,46,82,186,1,,,28,16,12,22,26,9,8,,60,126,,,22,,3
"Hough, Brady",WC,15,127,74,59,186,,3,,14,26,28,5,32,6,8,,36,148,2,2,9,2,5
"Chol, Mabior",GC,22,142,80,43,185,44,27,88,28,3,32,17,57,25,29,3,130,67,33,39,47,1,7
"Waterman, Jake",WC,20,143,97,42,185,18,11,,32,11,27,2,30,14,9,,56,131,11,21,23,,9
"Henry, Jack",GE,17,119,82,65,184,4,1,6,24,28,14,2,31,8,9,,57,126,10,6,72,1,5
"Naish, Patrick",WC,11,120,42,64,184,1,3,,15,32,25,8,33,5,8,,46,135,,2,7,2,3
"Durdin, Corey",CA,21,118,40,65,183,15,11,,48,5,34,9,35,7,9,,82,107,3,7,20,2,13
"Castagna, Jason",RI,16,100,59,81,181,12,9,,33,7,28,1,38,7,8,,69,114,9,13,2,1,7
"McComb, Robbie",WB,15,93,32,88,181,6,5,,23,6,31,11,41,6,11,,65,120,,5,11,1,9
"Butts, Jordon",AD,19,99,63,82,181,,,,15,39,8,1,24,12,12,,71,108,8,,114,,
"ODriscoll, Nathan",FR,12,103,42,75,178,10,6,,19,8,29,17,29,11,8,,56,119,,4,17,8,4
"Walker, Josh",NM,16,105,79,73,178,,1,,15,50,6,2,31,14,11,,76,93,19,2,84,,
"Sholl, Lachlan",AD,11,103,38,74,177,4,1,,9,17,23,19,20,5,4,,55,125,,1,9,,4
"Fort, Darcy",BL,18,127,31,49,176,9,1,306,37,16,30,54,42,21,19,,128,59,9,8,52,,4
"Lukosius, Jack",GC,13,143,62,33,176,8,14,,28,20,49,7,35,8,11,,57,101,5,13,31,,12
"Powell, Wil",GC,12,136,43,40,176,1,6,,29,43,30,8,26,9,12,,58,98,4,,32,4,6
"Williams, Zac",CA,9,136,37,40,176,,,,11,48,14,10,26,7,7,1,48,96,1,,22,21,1
"Hipwood, Eric",BL,17,125,79,49,174,25,17,8,18,2,38,5,50,16,18,,74,107,15,30,37,2,11
"Plowman, Lachie",CA,15,89,52,85,174,,,,26,25,12,5,21,12,7,,70,113,5,,60,1,1
"Brown, Ben",ME,19,114,79,59,173,30,19,14,17,,23,2,36,14,19,,91,97,25,34,45,,5
"Keath, Alex",WB,15,105,80,68,173,3,,,20,33,14,1,27,7,8,,66,118,12,,61,1,2
"Gunston, Jack",HW,16,129,70,43,172,32,24,,22,1,29,1,28,12,11,3,73,101,13,39,28,1,13
"Dixon, Charlie",PA,12,89,41,83,172,16,8,90,27,,27,24,33,14,19,1,116,57,25,13,36,,9
"Markov, Oleg",GC,11,125,47,47,172,1,,,20,37,26,4,32,8,4,,52,105,,1,19,19,2
"Farrar, Jy",GC,14,123,64,48,171,1,,,21,42,21,3,26,5,11,,52,111,3,,44,16,
"Worpel, James",HW,11,86,20,83,169,3,2,,24,10,33,32,40,8,11,,94,82,,,14,2,1
"Lewis, Mitch",HW,15,116,72,52,168,37,15,4,16,1,20,4,33,17,14,3,84,84,23,35,34,1,7
"Edwards, Harry",WC,17,125,94,43,168,,,,18,29,4,3,27,11,13,,56,117,14,,92,1,
"Fogarty, Darcy",AD,17,113,75,54,167,33,14,2,31,,41,6,41,11,20,2,85,91,24,32,39,,8
"Hibberd, Michael",ME,12,105,52,62,167,,,,21,45,9,1,22,3,6,,54,93,3,,35,,
"Martin, Dustin",RI,9,114,31,51,165,12,7,,15,2,40,26,35,4,14,2,75,97,4,6,11,2,4
"Gibcus, Josh",RI,18,99,62,66,165,3,1,4,22,43,12,1,35,11,11,,63,106,11,2,115,,3
"Grimes, Dylan",RI,15,106,52,59,165,,,,23,38,4,1,38,14,14,,79,72,13,,81,1,
"Turner, Kayne",NM,17,105,53,59,164,4,3,,40,23,20,3,36,13,12,,54,109,3,3,22,1,1
"Petrevski-Seton, Sam",WC,14,89,42,75,164,1,1,,43,14,10,8,28,9,13,,61,100,1,1,19,1,2
"McGovern, Jeremy",WC,10,111,67,53,164,1,,2,12,43,9,1,22,5,3,2,57,88,15,,62,1,
"Scott, Anthony",WB,14,102,48,61,163,7,3,,20,10,30,15,18,16,5,,51,119,2,8,21,2,5
"Bergman, Miles",PA,10,99,47,64,163,6,5,,22,9,20,10,29,5,2,,52,111,2,5,19,2,2
"Ladhams, Peter",SY,11,82,29,81,163,2,4,226,16,8,23,41,48,25,29,4,95,76,3,4,38,,1
"McAdam, Shane",AD,15,94,65,68,162,23,13,,44,2,14,2,33,15,17,,60,97,10,31,10,3,10
"Owies, Matthew",CA,17,103,43,59,162,14,11,,66,4,32,7,25,17,10,,77,88,4,14,19,1,11
"West, Rhylee",WB,14,78,37,84,162,11,9,,53,4,24,5,30,7,14,,78,92,6,12,14,1,12
"Murphy, Nathan",CW,16,116,52,46,162,,,,19,52,7,1,29,13,13,,65,99,11,,87,,
"Casboult, Levi",GC,21,114,79,47,161,35,22,10,21,1,22,5,67,18,31,,89,72,36,49,37,,3
"Cutler, Tom",ES,9,110,51,50,160,5,3,,8,31,23,6,18,1,8,,38,113,2,6,23,5,1
"ONeill, Xavier",WC,11,96,19,64,160,2,,,51,13,26,24,31,7,14,,64,95,,,6,,8
"Frost, Sam",HW,12,91,55,68,159,1,1,3,24,36,11,1,46,9,24,,64,98,7,3,60,4,1
"Duryea, Taylor",WB,12,104,70,54,158,1,,,15,21,21,3,24,10,9,,47,118,3,1,27,1,2
"Williams, Bailey",WC,17,83,31,74,157,6,6,280,35,13,21,45,33,18,11,,98,61,11,11,32,,3
"Rioli, Junior",WC,13,104,41,52,156,14,3,,41,11,21,36,41,10,21,1,80,83,4,10,11,3,5
"Lienert, Jarrod",SK,11,110,52,46,156,,1,7,23,42,9,11,32,4,12,,36,107,,,32,,
"Motlop, Steven",PA,14,99,47,54,153,10,6,,37,6,33,3,26,10,13,,52,105,4,8,14,,9
"Milera, Wayne",AD,12,81,32,72,153,5,6,,24,6,23,7,19,6,8,,57,97,2,5,13,2,9
"Cox, Mason",CW,18,112,58,40,152,7,8,317,36,19,30,28,56,21,29,1,101,53,29,12,59,,1
"Zerk-Thatcher, Brandon",ES,12,100,70,52,152,,,,12,36,3,4,19,9,6,,38,112,4,,71,1,
"Riccardi, Jake",GW,15,104,74,47,151,15,14,14,23,2,22,6,24,10,5,,54,99,15,20,14,1,6
"Tucker, Darcy",FR,14,87,43,63,150,2,5,,24,12,23,22,24,5,5,,49,102,2,2,9,1,2
"Davies, Alex",GC,15,81,27,68,149,8,3,2,47,8,27,22,41,13,19,,87,68,1,2,14,1,4
"Mathieson, Rhys",BL,10,73,25,74,147,3,4,,25,10,18,43,18,17,7,2,86,62,,2,8,,3
"Rachele, Josh",AD,13,93,36,53,146,17,11,,24,4,18,16,36,8,11,1,63,84,2,14,11,3,4
"Duursma, Xavier",PA,11,84,43,62,146,6,1,,20,17,15,13,32,6,7,,39,109,2,5,12,6,5
"Shiels, Liam",HW,13,84,32,62,146,4,4,,39,10,25,11,32,9,6,,48,88,1,2,14,,2
"Brown, Luke",AD,11,86,38,60,146,,,,21,28,6,7,15,17,5,,54,87,,,17,3,
"McDonald, Logan",SY,17,96,69,49,145,15,16,,26,1,19,1,24,8,6,,64,85,12,21,19,,10
"Curtis, Paul",NM,15,94,55,50,144,12,8,,43,5,27,1,33,14,14,,68,87,10,15,10,1,7
"Banfield, Bailey",FR,23,102,46,41,143,18,14,,26,5,26,2,32,11,16,,63,95,7,15,9,1,8
"OHalloran, Xavier",GW,14,88,35,55,143,1,3,,24,11,31,9,27,4,6,,41,108,1,2,12,2,2
"Campbell, Braeden",SY,17,102,36,39,141,2,2,,31,19,25,4,25,10,13,,48,92,,,24,2,2
"Rotham, Josh",WC,13,103,71,38,141,2,,8,21,29,11,,23,9,9,,25,116,2,2,38,,1
"Jones, Lachie",PA,14,73,36,68,141,1,1,,30,21,15,6,41,10,11,,52,91,3,1,52,2,4
"Rosas, Malcolm",GC,15,77,27,63,140,14,7,,46,2,27,13,37,5,11,,71,75,3,5,11,1,7
"McKay, Ben",NM,15,92,82,47,139,1,,,11,28,3,3,21,7,7,,69,71,32,4,60,5,
"Prior, Jaxon",BL,12,104,38,34,138,4,3,,23,15,23,10,29,13,5,,55,87,1,1,21,,
"Bramble, Lachlan",HW,9,87,25,51,138,,3,,21,28,12,8,15,7,4,,41,83,1,1,14,3,5
"Billings, Jack",SK,8,92,46,44,136,5,2,,19,17,22,8,12,8,5,,37,99,3,4,9,,3
"Keeffe, Lachlan",GW,18,89,48,47,136,2,2,69,33,20,9,6,32,8,19,,51,83,8,1,66,,2
"Hopper, Jacob",GW,7,57,20,78,135,2,1,,21,10,16,33,29,9,10,,66,74,,,6,1,3
"Budarick, Connor",GC,9,106,44,29,135,,1,,22,32,12,2,24,9,6,2,43,73,4,,25,1,
"Ugle-Hagan, Jamarra",WB,17,100,60,34,134,18,16,3,18,,33,,33,10,5,2,61,76,17,31,16,1,2
"McNeil, Lachlan",WB,16,79,32,55,134,10,7,,51,2,23,5,22,13,7,,50,83,1,7,15,1,2
"Grainger-Barras, Denver",HW,16,87,49,47,134,,,,23,38,5,3,39,14,24,,51,81,9,,70,4,
"Kennedy, Josh",WC,15,96,58,37,133,37,13,,21,1,22,1,35,11,18,6,53,86,10,36,13,,3
"Kennedy, Josh",SY,11,66,30,67,133,2,,,19,9,13,23,23,2,8,,58,77,3,3,11,3,2
"Graham, Caleb",GC,15,95,52,38,133,1,,2,14,37,16,3,26,13,9,,50,80,8,,153,,
"Payne, Jack",BL,12,104,65,28,132,2,3,,21,40,13,,17,7,2,,47,82,11,3,74,1,2
